calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium
0.14937759336099585,0.047244094488188976,0.04964539007092199,0.0425531914893617,0.0,0.11801242236024845,0.18054410552349548,0.28205128205128205,0.1764705882352941,0.12643678160919541,0.1945945945945946,0.022222222222222223,0.05,0.06896551724137931
0.3402489626556016,0.3228346456692913,0.3191489361702128,0.36170212765957444,0.1875,0.16149068322981366,0.25803792250618307,0.3974358974358974,0.11764705882352941,0.20689655172413793,0.24324324324324326,0.03333333333333333,0.05,0.06896551724137931
0.4605809128630705,0.47244094488188976,0.47517730496453897,0.5744680851063829,0.375,0.2732919254658385,0.31409727947238253,0.40384615384615385,0.1764705882352941,0.20689655172413793,0.372972972972973,0.05555555555555556,0.05,0.1724137931034483
0.3029045643153527,0.2204724409448819,0.21985815602836878,0.2127659574468085,0.0625,0.19254658385093168,0.3173948887056884,0.3974358974358974,0.11764705882352941,0.20689655172413793,0.2918918918918919,0.03333333333333333,0.0625,0.06896551724137931
0.3734439834024896,0.3228346456692913,0.3191489361702128,0.2553191489361702,0.0625,0.14906832298136646,0.3239901071723001,0.5192307692307692,0.23529411764705882,0.20689655172413793,0.24324324324324326,0.03333333333333333,0.05,0.06896551724137931
0.21576763485477177,0.19685039370078738,0.19858156028368795,0.2127659574468085,0.125,0.09937888198757765,0.15416323165704865,0.2948717948717949,0.1764705882352941,0.10344827586206896,0.12972972972972974,0.05555555555555556,0.005,0.05172413793103448
0.11618257261410789,0.07874015748031496,0.0851063829787234,0.10638297872340426,0.0625,0.04968944099378882,0.10964550700741962,0.21153846153846154,0.11764705882352941,0.08045977011494253,0.07567567567567568,0.05555555555555556,0.005,0.034482758620689655
0.2033195020746888,0.1653543307086614,0.1702127659574468,0.0851063829787234,0.0,0.08074534161490683,0.169002473206925,0.3141025641025641,0.1764705882352941,0.06896551724137931,0.12972972972972974,0.0,0.01,0.006896551724137931
0.17012448132780084,0.14960629921259844,0.14893617021276595,0.23404255319148937,0.125,0.10559006211180125,0.169002473206925,0.22435897435897434,0.11764705882352941,0.08045977011494253,0.12972972972972974,0.11111111111111112,0.01,0.05172413793103448
0.31120331950207464,0.31496062992125984,0.3191489361702128,0.44680851063829785,0.3125,0.2173913043478261,0.21022258862324816,0.2692307692307692,0.1764705882352941,0.11494252873563218,0.2702702702702703,0.11111111111111112,0.015,0.06896551724137931
0.14937759336099585,0.13385826771653542,0.1276595744680851,0.0851063829787234,0.0,0.04968944099378882,0.10305028854080792,0.24358974358974358,0.11764705882352941,0.05747126436781609,0.07567567567567568,0.011111111111111112,0.0,0.05172413793103448
0.24896265560165973,0.23622047244094488,0.24113475177304963,0.2765957446808511,0.1875,0.11801242236024845,0.12778235779060185,0.3076923076923077,0.1764705882352941,0.12643678160919541,0.16756756756756758,0.05555555555555556,0.025,0.12068965517241378
0.21161825726141079,0.14173228346456693,0.14184397163120566,0.14893617021276595,0.0,0.15527950310559008,0.1871393239901072,0.3076923076923077,0.1764705882352941,0.12643678160919541,0.22162162162162163,0.05555555555555556,0.05,0.12068965517241378
0.28215767634854766,0.23622047244094488,0.24113475177304963,0.19148936170212766,0.0,0.10559006211180125,0.1937345424567189,0.42948717948717946,0.29411764705882354,0.12643678160919541,0.17297297297297298,0.05555555555555556,0.0375,0.12068965517241378
0.0954356846473029,0.05511811023622047,0.05673758865248227,0.06382978723404255,0.0,0.037267080745341616,0.07666941467436109,0.1987179487179487,0.11764705882352941,0.06896551724137931,0.06486486486486487,0.011111111111111112,0.005,0.013793103448275862
0.11203319502074689,0.03937007874015748,0.035460992907801414,0.031914893617021274,0.0,0.08074534161490683,0.10140148392415499,0.22435897435897434,0.11764705882352941,0.034482758620689655,0.12432432432432433,0.022222222222222223,0.015,0.05172413793103448
0.2572614107883817,0.25984251968503935,0.2553191489361702,0.2978723404255319,0.1875,0.13664596273291926,0.20527617477328938,0.2564102564102564,0.1764705882352941,0.11494252873563218,0.1945945945945946,0.03333333333333333,0.0375,0.05172413793103448
0.23236514522821577,0.14960629921259844,0.14893617021276595,0.1702127659574468,0.0,0.16770186335403728,0.3091508656224238,0.3205128205128205,0.1764705882352941,0.16091954022988506,0.25405405405405407,0.022222222222222223,0.075,0.10344827586206896
